Posicao,EMPRESA,SETOR,VENDAS LÍQUIDAS VALOR(EM R$ MILHÕES),VENDAS LÍQUIDAS VALOR(EM US$ MILHÕES),VENDAS LÍQUIDAS CRESCIMENTO(EM %),LUCRO LÍQUIDO AJUSTADO(EM US$ MILHÕES),LUCRO LÍQUIDO LEGAL(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO AJUSTADO(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO LEGAL(EM US$ MILHÕES),RENTABILIDADE AJUSTADA(EM %),RENTABILIDADE LEGAL(EM %),RENTABILIDADE SOBRE VENDAS(EM %),CAPITAL CIRCUL. LÍQUIDO(EM US$ MILHÕES),LIQUIDEZ GERAL(EM NO. ÍNDICE),ENDIVIDAMENTO GERAL(EM %),ENDIVIDAMENTO LONGO PRAZO(EM %),RIQUEZA CRIADA(EM US$ MILHÕES),NO. DE EMPREG.,RIQUEZA CRIADA POR EMPREG.(EM US$ MIL),SALÁRIOS E ENCARGOS(EM US$ MILHÕES),TRIBUTOS(EM US$ MILHÕES),EBITDA(EM US$ MILHÕES),EXPORTAÇÃO VALOR(EM US$ MILHÕES),EXPORTAÇÃO % DAS VENDAS,CONTROLE ACIONÁRIO,Ano
471,Huawei,Eletroeletrônico,1611.5,399.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinês,2018
438,Frangos Canção,Bens de Consumo,1627.4,403.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2016
466,Garoto,Bens de Consumo,1628.5,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suíço,2018
442,Usaçúcar,Energia,1664.5,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2017
455,Cocari,Produção Agropecuária,1664.5,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2018
441,Digibras,Indústria Digital,1673.5,415.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinês,2015
452,Broadcom,Indústria Digital,1675.1,415.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americano,2018
427,Naturalle Agro,Produção Agropecuária,1678.6,416.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japonês,2016
424,Usaçúcar,Energia,1684.3,417.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2016
449,Interagrícola,Atacado,1697.2,421.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suíço,2018
438,Panasonic,Eletroeletrônico,1697.5,421.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japonês,2017
429,Cosan Lubrificantes,Atacado,1717.1,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2015
460,CGG Trading,Atacado,1722.8,427.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2019
412,Panasonic,Eletroeletrônico,1724.7,427.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,11.6,Japonês,2016
459,BCI Brasil China Importadora,Atacado,1727.8,428.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2019
446,Oracle,Indústria Digital,1728.2,428.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americano,2018
423,Panasonic,Eletroeletrônico,1730.1,429.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,12.6,Japonês,2015
455,Oleoplan,Produção Agropecuária,1742.3,432.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2019
421,Goodyear,Autoindústria,1744.6,432.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americano,2015
414,Unimed Campinas,Serviços de Saúde,1797.5,445.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2015
410,BSBios,Energia,1813.8,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Estatal/Brasileiro,2015
440,SAP,Indústria Digital,1829.8,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alemão,2019
409,Gtfoods Group,Bens de Consumo,1834.8,455.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2017
404,CA Technologies,Indústria Digital,1840.3,456.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americano,2017
400,Huawei,Eletroeletrônico,1847,458.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinês,2015
398,CGG Trading,Atacado,1873.3,464.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2017
380,CA Technologies,Indústria Digital,1877.8,465.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americano,2016
410,M&G Polímeros,Química e Petroquímica,1887.2,468.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tailandês,2018
409,CGG Trading,Atacado,1898.1,470.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2018
387,Abbott,Farmacêutico,1898.4,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,2.4,Americano,2017
375,CGG Trading,Atacado,1900.6,471.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2016
419,Panasonic,Eletroeletrônico,1934.4,479.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japonês,2019
417,Jacobs Douwe Egberts (JDE),Bens de Consumo,1941.6,481.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Holandês,2019
379,Microsoft Mobile,Eletroeletrônico,1961.2,486.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americano,2017
398,Gtfoods Group,Bens de Consumo,1961.4,486.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2018
379,Brazil Trading,Atacado,1969,488.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2015
